Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,193.89,193.98,191.21,191.35,858671.0,0.0,1.0,193.89,193.98,191.21,191.35,858671.0
2015-04-15,196.53,197.0,193.94,194.95,777748.0,0.0,1.0,196.53,197.0,193.94,194.95,777748.0
2015-04-14,193.43,196.92,192.04,195.81,633564.0,0.0,1.0,193.43,196.92,192.04,195.81,633564.0
2015-04-13,195.79,195.79,192.4,193.94,805875.0,0.0,1.0,195.79,195.79,192.4,193.94,805875.0
2015-04-10,197.48,197.82,195.43,195.67,605261.0,0.0,1.0,197.48,197.82,195.43,195.67,605261.0
2015-04-09,196.28,197.09,193.24,196.16,1001573.0,0.0,1.0,196.28,197.09,193.24,196.16,1001573.0
2015-04-08,193.52,197.28,190.23,196.14,1984257.0,0.0,1.0,193.52,197.28,190.23,196.14,1984257.0
2015-04-07,201.0,202.09,197.67,197.73,654837.0,0.0,1.0,201.0,202.09,197.67,197.73,654837.0
2015-04-06,199.75,202.42,199.128,201.02,587306.0,0.0,1.0,199.75,202.42,199.128,201.02,587306.0
2015-04-02,200.0,201.67,199.26,200.38,820331.0,0.0,1.0,200.0,201.67,199.26,200.38,820331.0
2015-04-01,201.89,202.5,198.9,201.39,933413.0,0.0,1.0,201.89,202.5,198.9,201.39,933413.0
2015-03-31,200.52,204.64,200.01,202.06,1007310.0,0.0,1.0,200.52,204.64,200.01,202.06,1007310.0
2015-03-30,199.08,202.07,199.07,201.04,685860.0,0.0,1.0,199.08,202.07,199.07,201.04,685860.0
2015-03-27,195.5,198.57,194.6375,198.5,541024.0,0.0,1.0,195.5,198.57,194.6375,198.5,541024.0
2015-03-26,192.87,197.24,192.8,196.05,1048237.0,0.0,1.0,192.87,197.24,192.8,196.05,1048237.0
2015-03-25,197.71,199.18,193.93,194.09,651480.0,0.0,1.0,197.71,199.18,193.93,194.09,651480.0
2015-03-24,196.39,201.31,196.39,198.26,898790.0,0.0,1.0,196.39,201.31,196.39,198.26,898790.0
2015-03-23,197.0,200.18,196.59,197.16,822820.0,0.0,1.0,197.0,200.18,196.59,197.16,822820.0
2015-03-20,195.04,198.38,194.42,197.95,1010601.0,0.0,1.0,195.04,198.38,194.42,197.95,1010601.0
2015-03-19,197.8,199.22,193.75,194.14,1100897.0,0.0,1.0,197.8,199.22,193.75,194.14,1100897.0
2015-03-18,195.62,199.7299,191.05,198.92,1414561.0,0.0,1.0,195.62,199.7299,191.05,198.92,1414561.0
2015-03-17,198.54,198.54,195.74,196.93,767505.0,0.0,1.0,198.54,198.54,195.74,196.93,767505.0
2015-03-16,198.03,199.92,197.18,198.69,595944.0,0.0,1.0,198.03,199.92,197.18,198.69,595944.0
2015-03-13,198.24,200.15,195.35,197.62,863998.0,0.0,1.0,198.24,200.15,195.35,197.62,863998.0
2015-03-12,196.89,200.47,196.45,199.51,647605.0,0.0,1.0,196.89,200.47,196.45,199.51,647605.0
