Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,54.06,54.15,53.63,53.99,2042856.0,0.0,1.0,54.06,54.15,53.63,53.99,2042856.0
2015-04-15,54.37,54.64,54.22,54.25,1230021.0,0.0,1.0,54.37,54.64,54.22,54.25,1230021.0
2015-04-14,54.73,54.76,54.145,54.24,1967510.0,0.0,1.0,54.73,54.76,54.145,54.24,1967510.0
2015-04-13,55.0,55.16,54.74,54.84,2158878.0,0.0,1.0,55.0,55.16,54.74,54.84,2158878.0
2015-04-10,55.17,55.93,54.99,55.14,4470829.0,0.0,1.0,55.17,55.93,54.99,55.14,4470829.0
2015-04-09,54.67,55.13,54.42,54.97,4105370.0,0.0,1.0,54.67,55.13,54.42,54.97,4105370.0
2015-04-08,54.76,55.09,54.58,54.61,3852235.0,0.0,1.0,54.76,55.09,54.58,54.61,3852235.0
2015-04-07,54.47,54.89,54.35,54.74,2022510.0,0.0,1.0,54.47,54.89,54.35,54.74,2022510.0
2015-04-06,53.89,54.73,53.75,54.55,3344045.0,0.0,1.0,53.89,54.73,53.75,54.55,3344045.0
2015-04-02,53.69,54.0,53.66,53.9,1399429.0,0.0,1.0,53.69,54.0,53.66,53.9,1399429.0
2015-04-01,54.25,54.38,53.57,53.65,2055974.0,0.0,1.0,54.25,54.38,53.57,53.65,2055974.0
2015-03-31,53.88,54.4,53.82,54.23,2325879.0,0.0,1.0,53.88,54.4,53.82,54.23,2325879.0
2015-03-30,53.56,54.23,53.53,54.01,1583739.0,0.0,1.0,53.56,54.23,53.53,54.01,1583739.0
2015-03-27,53.38,53.6963,53.38,53.4,1574561.0,0.0,1.0,53.38,53.6963,53.38,53.4,1574561.0
2015-03-26,53.64,53.71,53.38,53.4,1376145.0,0.0,1.0,53.64,53.71,53.38,53.4,1376145.0
2015-03-25,54.65,54.7,53.84,53.86,1496494.0,0.0,1.0,54.65,54.7,53.84,53.86,1496494.0
2015-03-24,54.92,54.96,54.57,54.61,1870254.0,0.0,1.0,54.92,54.96,54.57,54.61,1870254.0
2015-03-23,54.72,55.13,54.47,54.92,2464039.0,0.0,1.0,54.72,55.13,54.47,54.92,2464039.0
2015-03-20,54.79,54.85,54.38,54.55,5023936.0,0.0,1.0,54.79,54.85,54.38,54.55,5023936.0
2015-03-19,55.12,55.31,54.73,54.73,1701619.0,0.0,1.0,55.12,55.31,54.73,54.73,1701619.0
2015-03-18,54.27,55.2,54.05,55.07,2044250.0,0.0,1.0,54.27,55.2,54.05,55.07,2044250.0
2015-03-17,54.41,54.66,54.32,54.47,1507631.0,0.0,1.0,54.41,54.66,54.32,54.47,1507631.0
2015-03-16,53.5,54.5,53.49,54.4,2260845.0,0.0,1.0,53.5,54.5,53.49,54.4,2260845.0
2015-03-13,53.18,53.4,52.84,53.32,1904210.0,0.0,1.0,53.18,53.4,52.84,53.32,1904210.0
2015-03-12,52.72,53.19,52.71,53.09,1962649.0,0.0,1.0,52.72,53.19,52.71,53.09,1962649.0
2015-03-11,52.93,53.07,52.67,52.69,2797539.0,0.0,1.0,52.93,53.07,52.67,52.69,2797539.0
2015-03-10,53.32,53.53,52.905,52.91,2854037.0,0.0,1.0,53.32,53.53,52.905,52.91,2854037.0
2015-03-09,53.61,53.84,53.58,53.67,2991321.0,0.0,1.0,53.61,53.84,53.58,53.67,2991321.0
2015-03-06,54.16,54.295,53.64,53.65,2521169.0,0.0,1.0,54.16,54.295,53.64,53.65,2521169.0
