Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,51.74,52.4313,51.35,52.08,4294235.0,0.0,1.0,51.74,52.4313,51.35,52.08,4294235.0
2015-04-15,51.23,52.02,51.05,51.82,5215521.0,0.0,1.0,51.23,52.02,51.05,51.82,5215521.0
2015-04-14,50.55,50.93,50.4,50.79,4986856.0,0.0,1.0,50.55,50.93,50.4,50.79,4986856.0
2015-04-13,51.11,51.25,50.29,50.32,3313053.0,0.0,1.0,51.11,51.25,50.29,50.32,3313053.0
2015-04-10,50.8,50.92,50.6,50.88,3055852.0,0.0,1.0,50.8,50.92,50.6,50.88,3055852.0
2015-04-09,50.51,50.95,50.31,50.72,3529318.0,0.0,1.0,50.51,50.95,50.31,50.72,3529318.0
2015-04-08,50.55,50.745,50.065,50.29,2494284.0,0.0,1.0,50.55,50.745,50.065,50.29,2494284.0
2015-04-07,50.18,50.8,50.11,50.53,3847228.0,0.0,1.0,50.18,50.8,50.11,50.53,3847228.0
2015-04-06,50.78,50.78,50.25,50.3,4639722.0,0.0,1.0,50.78,50.78,50.25,50.3,4639722.0
2015-04-02,49.75,50.57,49.64,50.3,3075545.0,0.0,1.0,49.75,50.57,49.64,50.3,3075545.0
2015-04-01,50.88,51.0,49.98,50.05,5267878.0,0.0,1.0,50.88,51.0,49.98,50.05,5267878.0
2015-03-31,50.19,50.89,50.03,50.59,5353574.0,0.0,1.0,50.19,50.89,50.03,50.59,5353574.0
2015-03-30,49.76,50.81,49.71,50.64,4997482.0,0.0,1.0,49.76,50.81,49.71,50.64,4997482.0
2015-03-27,48.97,49.71,48.79,49.28,4538834.0,0.0,1.0,48.97,49.71,48.79,49.28,4538834.0
2015-03-26,49.67,49.75,48.97,49.26,5109212.0,0.0,1.0,49.67,49.75,48.97,49.26,5109212.0
2015-03-25,49.05,51.15,48.902,49.06,6272563.0,0.0,1.0,49.05,51.15,48.902,49.06,6272563.0
2015-03-24,49.22,49.44,48.61,48.67,5186637.0,0.0,1.0,49.22,49.44,48.61,48.67,5186637.0
2015-03-23,48.42,49.28,48.28,49.07,4953826.0,0.0,1.0,48.42,49.28,48.28,49.07,4953826.0
2015-03-20,48.23,48.72,47.96,48.28,5961940.0,0.0,1.0,48.23,48.72,47.96,48.28,5961940.0
2015-03-19,48.01,48.42,47.605,47.93,3670577.0,0.0,1.0,48.01,48.42,47.605,47.93,3670577.0
2015-03-18,46.58,48.72,46.36,48.46,6422576.0,0.0,1.0,46.58,48.72,46.36,48.46,6422576.0
2015-03-17,46.33,46.93,46.25,46.79,5049429.0,0.0,1.0,46.33,46.93,46.25,46.79,5049429.0
2015-03-16,45.81,46.79,45.81,46.74,4328429.0,0.0,1.0,45.81,46.79,45.81,46.74,4328429.0
2015-03-13,45.94,46.21,45.7,46.14,5660793.0,0.0,1.0,45.94,46.21,45.7,46.14,5660793.0
2015-03-12,46.41,46.6,46.24,46.37,7671064.0,0.0,1.0,46.41,46.6,46.24,46.37,7671064.0
2015-03-11,47.0,47.15,46.16,46.24,6715801.0,0.0,1.0,47.0,47.15,46.16,46.24,6715801.0
2015-03-10,47.74,48.31,47.61,47.69,5246660.0,0.0,1.0,47.74,48.31,47.61,47.69,5246660.0
2015-03-09,47.98,48.91,47.89,48.31,6374605.0,0.0,1.0,47.98,48.91,47.89,48.31,6374605.0
2015-03-06,47.685,48.35,47.54,47.79,6994314.0,0.0,1.0,47.685,48.35,47.54,47.79,6994314.0
2015-03-05,48.88,49.14,47.97,47.98,6173024.0,0.0,1.0,48.88,49.14,47.97,47.98,6173024.0
2015-03-04,49.15,49.19,48.0,48.9,6131670.0,0.0,1.0,49.15,49.19,48.0,48.9,6131670.0
2015-03-03,49.23,49.6,48.73,49.15,6620995.0,0.0,1.0,49.23,49.6,48.73,49.15,6620995.0
2015-03-02,48.93,49.25,48.42,49.03,5859125.0,0.0,1.0,48.93,49.25,48.42,49.03,5859125.0
2015-02-27,49.1,49.17,48.6,49.04,6438594.0,0.0,1.0,49.1,49.17,48.6,49.04,6438594.0
2015-02-26,49.04,49.37,48.46,48.81,6572614.0,0.0,1.0,49.04,49.37,48.46,48.81,6572614.0
2015-02-25,49.19,49.55,48.8,49.38,5093146.0,0.0,1.0,49.19,49.55,48.8,49.38,5093146.0
2015-02-24,48.9,49.3,48.54,49.3,7143863.0,0.0,1.0,48.9,49.3,48.54,49.3,7143863.0
2015-02-23,48.31,49.48,48.31,49.15,5610824.0,0.0,1.0,48.31,49.48,48.31,49.15,5610824.0
2015-02-20,49.19,49.5,48.66,48.97,8851001.0,0.0,1.0,49.19,49.5,48.66,48.97,8851001.0
2015-02-19,49.3,50.69,48.43,49.41,13433976.0,0.0,1.0,49.3,50.69,48.43,49.41,13433976.0
2015-02-18,49.21,49.35,48.41,48.68,10880439.0,0.0,1.0,49.21,49.35,48.41,48.68,10880439.0
2015-02-17,49.24,49.76,48.651,49.65,7142265.0,0.0,1.0,49.24,49.76,48.651,49.65,7142265.0
2015-02-13,48.37,49.59,48.16,49.41,13296630.0,0.0,1.0,48.37,49.59,48.16,49.41,13296630.0
2015-02-12,47.82,48.21,47.48,47.97,5121449.0,0.0,1.0,47.82,48.21,47.48,47.97,5121449.0
2015-02-11,47.03,47.61,46.46,47.14,10174770.0,0.0,1.0,47.03,47.61,46.46,47.14,10174770.0
2015-02-10,46.27,47.595,45.785,47.35,10118329.0,0.0,1.0,46.27,47.595,45.785,47.35,10118329.0
2015-02-09,46.44,46.9,45.87,46.05,3867072.0,0.0,1.0,46.44,46.9,45.87,46.05,3867072.0
2015-02-06,46.89,47.01,46.2,46.38,6865765.0,0.0,1.0,46.89,47.01,46.2,46.38,6865765.0
2015-02-05,46.13,46.73,45.71,46.4,7428284.0,0.0,1.0,46.13,46.73,45.71,46.4,7428284.0
2015-02-04,45.37,46.01,45.03,45.36,6519397.0,0.0,1.0,45.37,46.01,45.03,45.36,6519397.0
2015-02-03,45.29,46.2,44.85,46.08,11266405.0,0.0,1.0,45.29,46.2,44.85,46.08,11266405.0
2015-02-02,44.4,44.95,43.61,44.83,11875252.0,0.0,1.0,44.4,44.95,43.61,44.83,11875252.0
2015-01-30,43.19,44.52,42.67,43.86,14968113.0,0.0,1.0,43.19,44.52,42.67,43.86,14968113.0
2015-01-29,42.9,43.78,42.02,43.59,9394113.0,0.0,1.0,42.9,43.78,42.02,43.59,9394113.0
2015-01-28,43.95,44.02,42.42,42.51,9353233.0,0.0,1.0,43.95,44.02,42.42,42.51,9353233.0
2015-01-26,43.5,43.925,43.2199,43.75,7027207.0,0.0,1.0,43.5,43.925,43.2199,43.75,7027207.0
2015-01-23,43.25,43.98,42.72,43.35,6276311.0,0.0,1.0,43.25,43.98,42.72,43.35,6276311.0
2015-01-22,43.26,43.56,42.29,43.32,6969288.0,0.0,1.0,43.26,43.56,42.29,43.32,6969288.0
2015-01-21,42.19,43.13,42.08,42.77,7285592.0,0.0,1.0,42.19,43.13,42.08,42.77,7285592.0
2015-01-20,41.9,42.145,41.14,42.09,7820462.0,0.0,1.0,41.9,42.145,41.14,42.09,7820462.0
2015-01-15,42.11,42.3058,41.38,41.63,7581176.0,0.0,1.0,42.11,42.3058,41.38,41.63,7581176.0
2015-01-14,40.43,41.68,40.07,41.53,9610807.0,0.0,1.0,40.43,41.68,40.07,41.53,9610807.0
2015-01-13,41.42,41.715,40.4,40.94,7221679.0,0.0,1.0,41.42,41.715,40.4,40.94,7221679.0
2015-01-12,42.04,42.05,40.79,41.28,6433526.0,0.0,1.0,42.04,42.05,40.79,41.28,6433526.0
2015-01-08,43.14,43.89,42.86,43.02,7704858.0,0.0,1.0,43.14,43.89,42.86,43.02,7704858.0
2015-01-06,43.29,43.61,42.2048,42.84,7974030.0,0.0,1.0,43.29,43.61,42.2048,42.84,7974030.0
2015-01-05,44.54,44.84,43.25,43.43,8709621.0,0.0,1.0,44.54,44.84,43.25,43.43,8709621.0
2015-01-02,44.83,45.57,44.83,45.22,7392518.0,0.0,1.0,44.83,45.57,44.83,45.22,7392518.0
2014-12-30,45.57,45.88,45.21,45.39,4942205.0,0.0,1.0,45.57,45.88,45.21,45.39,4942205.0
2014-12-26,45.68,46.0,45.185,45.63,4283238.0,0.0,1.0,45.68,46.0,45.185,45.63,4283238.0
2014-12-24,45.46,45.78,45.11,45.35,4328286.0,0.0,1.0,45.46,45.78,45.11,45.35,4328286.0
2014-12-23,45.9,46.06,45.335,45.73,8404004.0,0.0,1.0,45.9,46.06,45.335,45.73,8404004.0
2014-12-22,45.08,45.84,44.76,45.64,6997527.0,0.0,1.0,45.08,45.84,44.76,45.64,6997527.0
2014-12-19,45.12,46.07,44.85,46.0,12122013.0,0.0,1.0,45.12,46.07,44.85,46.0,12122013.0
2014-12-18,44.85,45.48,43.72,44.8,14353842.0,0.0,1.0,44.85,45.48,43.72,44.8,14353842.0
2014-12-17,42.01,43.98,41.91,43.63,20442956.0,0.0,1.0,42.01,43.98,41.91,43.63,20442956.0
2014-12-16,41.38,43.2,41.21,41.84,11658755.0,0.0,1.0,41.38,43.2,41.21,41.84,11658755.0
2014-12-15,43.32,43.45,41.69,42.14,12500198.0,0.0,1.0,43.32,43.45,41.69,42.14,12500198.0
2014-12-10,46.08,46.19,44.335,44.73,16427019.0,0.57,1.0,46.08,46.19,44.335,44.73,16427019.0
2014-12-09,46.43,47.39,45.62,47.23,11268973.0,0.0,1.0,45.845781456954,46.793701986755,45.045973509934,46.635715231788,11268973.0
