Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,20.72,20.82,20.5999,20.74,4776534.0,0.0,1.0,20.72,20.82,20.5999,20.74,4776534.0
2015-04-15,20.71,20.84,20.6,20.79,5065171.0,0.0,1.0,20.71,20.84,20.6,20.79,5065171.0
2015-04-14,20.48,20.7,20.37,20.65,4733158.0,0.0,1.0,20.48,20.7,20.37,20.65,4733158.0
2015-04-13,20.6,20.71,20.5,20.5,4409977.0,0.0,1.0,20.6,20.71,20.5,20.5,4409977.0
2015-04-10,20.57,20.695,20.54,20.62,2957399.0,0.0,1.0,20.57,20.695,20.54,20.62,2957399.0
2015-04-09,20.54,20.695,20.41,20.62,4450087.0,0.0,1.0,20.54,20.695,20.41,20.62,4450087.0
2015-04-08,20.15,20.61,20.14,20.57,6730849.0,0.0,1.0,20.15,20.61,20.14,20.57,6730849.0
2015-04-07,20.17,20.33,20.02,20.08,6600616.0,0.0,1.0,20.17,20.33,20.02,20.08,6600616.0
2015-04-06,20.22,20.6701,20.12,20.24,9317211.0,0.0,1.0,20.22,20.6701,20.12,20.24,9317211.0
2015-04-02,20.52,21.04,20.48,20.91,8814212.0,0.0,1.0,20.52,21.04,20.48,20.91,8814212.0
2015-04-01,20.74,20.75,20.4,20.56,7515319.0,0.0,1.0,20.74,20.75,20.4,20.56,7515319.0
2015-03-31,20.29,20.87,20.25,20.81,12177926.0,0.0,1.0,20.29,20.87,20.25,20.81,12177926.0
2015-03-30,19.91,20.44,19.91,20.4,9447802.0,0.0,1.0,19.91,20.44,19.91,20.4,9447802.0
2015-03-27,19.33,19.75,19.32,19.7,6653603.0,0.0,1.0,19.33,19.75,19.32,19.7,6653603.0
2015-03-26,19.35,19.5,19.32,19.39,5162742.0,0.0,1.0,19.35,19.5,19.32,19.39,5162742.0
2015-03-25,19.74,19.84,19.38,19.39,6446912.0,0.0,1.0,19.74,19.84,19.38,19.39,6446912.0
2015-03-24,19.71,19.87,19.68,19.72,5525974.0,0.0,1.0,19.71,19.87,19.68,19.72,5525974.0
2015-03-23,19.24,20.065,19.24,19.75,8549518.0,0.0,1.0,19.24,20.065,19.24,19.75,8549518.0
2015-03-20,19.35,19.38,19.09,19.2,9988189.0,0.0,1.0,19.35,19.38,19.09,19.2,9988189.0
2015-03-19,19.33,19.41,19.08,19.25,4569641.0,0.0,1.0,19.33,19.41,19.08,19.25,4569641.0
2015-03-18,19.27,19.48,18.72,19.35,11087502.0,0.0,1.0,19.27,19.48,18.72,19.35,11087502.0
2015-03-17,19.6,19.64,19.29,19.3,9160399.0,0.0,1.0,19.6,19.64,19.29,19.3,9160399.0
2015-03-16,19.56,19.63,19.49,19.61,4417410.0,0.0,1.0,19.56,19.63,19.49,19.61,4417410.0
2015-03-13,19.43,19.57,19.3,19.51,5034039.0,0.155,1.0,19.43,19.57,19.3,19.51,5034039.0
2015-03-12,19.41,19.63,19.41,19.58,4910121.0,0.0,1.0,19.257009916095,19.475275870837,19.257009916095,19.425669972032,4910121.0
2015-03-11,19.38,19.49,19.225,19.28,7968572.0,0.0,1.0,19.227246376812,19.336379354183,19.073468090516,19.128034579202,7968572.0
2015-03-10,19.39,19.46,19.27,19.38,5833306.0,0.0,1.0,19.237167556573,19.3066158149,19.118113399441,19.227246376812,5833306.0
2015-03-09,19.44,19.63,19.42,19.57,4114764.0,0.0,1.0,19.286773455378,19.475275870837,19.266931095856,19.415748792271,4114764.0
2015-03-06,19.43,19.655,19.41,19.45,5549169.0,0.0,1.0,19.276852275617,19.500078820239,19.257009916095,19.296694635139,5549169.0
2015-03-05,19.65,19.65,19.38,19.49,5567946.0,0.0,1.0,19.495118230359,19.495118230359,19.227246376812,19.336379354183,5567946.0
2015-03-04,19.63,19.74,19.57,19.65,3436853.0,0.0,1.0,19.475275870837,19.584408848207,19.415748792271,19.495118230359,3436853.0
2015-03-03,19.97,20.03,19.57,19.72,6337154.0,0.0,1.0,19.81259598271,19.872123061276,19.415748792271,19.564566488685,6337154.0
2015-03-02,19.51,20.1,19.5,20.04,7255045.0,0.0,1.0,19.356221713705,19.941571319603,19.346300533944,19.882044241037,7255045.0
2015-02-27,19.49,19.73,19.49,19.52,4531170.0,0.0,1.0,19.336379354183,19.574487668446,19.336379354183,19.366142893466,4531170.0
