Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,31.89,32.3,31.47,32.15,3499067.0,0.0,1.0,31.89,32.3,31.47,32.15,3499067.0
2015-04-15,32.08,32.145,31.93,32.02,3121184.0,0.0,1.0,32.08,32.145,31.93,32.02,3121184.0
2015-04-14,32.1,32.22,31.84,31.99,4276693.0,0.0,1.0,32.1,32.22,31.84,31.99,4276693.0
2015-04-13,32.21,32.35,32.08,32.2,2508459.0,0.0,1.0,32.21,32.35,32.08,32.2,2508459.0
2015-04-10,32.24,32.44,32.2,32.25,2174995.0,0.0,1.0,32.24,32.44,32.2,32.25,2174995.0
2015-04-09,32.31,32.41,32.08,32.16,3022813.0,0.0,1.0,32.31,32.41,32.08,32.16,3022813.0
2015-04-08,32.24,32.36,32.05,32.36,3109377.0,0.0,1.0,32.24,32.36,32.05,32.36,3109377.0
2015-04-07,32.55,32.6,32.14,32.15,4163537.0,0.0,1.0,32.55,32.6,32.14,32.15,4163537.0
2015-04-06,32.55,32.75,32.43,32.51,6633988.0,0.0,1.0,32.55,32.75,32.43,32.51,6633988.0
2015-04-02,32.82,33.04,32.6,32.64,4501049.0,0.0,1.0,32.82,33.04,32.6,32.64,4501049.0
2015-04-01,33.17,33.19,32.675,32.86,2899233.0,0.0,1.0,33.17,33.19,32.675,32.86,2899233.0
2015-03-31,33.04,33.56,32.95,33.15,3525650.0,0.0,1.0,33.04,33.56,32.95,33.15,3525650.0
2015-03-30,33.21,33.34,32.93,33.17,2643399.0,0.0,1.0,33.21,33.34,32.93,33.17,2643399.0
2015-03-27,33.06,33.32,32.97,33.05,2379441.0,0.0,1.0,33.06,33.32,32.97,33.05,2379441.0
2015-03-26,33.2,33.35,32.74,33.06,3842538.0,0.0,1.0,33.2,33.35,32.74,33.06,3842538.0
2015-03-25,34.28,34.28,33.27,33.28,4519262.0,0.0,1.0,34.28,34.28,33.27,33.28,4519262.0
2015-03-24,34.32,34.49,34.2,34.3,2503403.0,0.0,1.0,34.32,34.49,34.2,34.3,2503403.0
