Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,130.06,130.87,127.2,127.35,1323262.0,0.0,1.0,130.06,130.87,127.2,127.35,1323262.0
2015-04-15,126.99,130.26,125.6,130.02,2068917.0,0.0,1.0,126.99,130.26,125.6,130.02,2068917.0
2015-04-14,130.59,131.28,126.69,127.53,3131515.0,0.0,1.0,130.59,131.28,126.69,127.53,3131515.0
2015-04-13,135.0,135.49,133.34,133.6,1975922.0,0.0,1.0,135.0,135.49,133.34,133.6,1975922.0
2015-04-10,136.2,136.35,133.3415,136.02,1753264.0,0.0,1.0,136.2,136.35,133.3415,136.02,1753264.0
2015-04-09,132.37,136.93,132.05,136.63,2556826.0,0.0,1.0,132.37,136.93,132.05,136.63,2556826.0
2015-04-08,129.85,131.56,127.84,129.28,1651308.0,0.0,1.0,129.85,131.56,127.84,129.28,1651308.0
2015-04-07,130.73,131.585,127.88,127.88,1574931.0,0.0,1.0,130.73,131.585,127.88,127.88,1574931.0
2015-04-06,127.94,132.04,127.421,130.72,2037417.0,0.0,1.0,127.94,132.04,127.421,130.72,2037417.0
2015-04-02,125.72,129.56,125.0,129.4,1333723.0,0.0,1.0,125.72,129.56,125.0,129.4,1333723.0
2015-04-01,126.11,127.05,123.69,125.53,1706894.0,0.0,1.0,126.11,127.05,123.69,125.53,1706894.0
2015-03-31,126.62,129.84,125.86,125.88,1353417.0,0.0,1.0,126.62,129.84,125.86,125.88,1353417.0
2015-03-30,126.71,128.16,125.67,127.46,1144417.0,0.0,1.0,126.71,128.16,125.67,127.46,1144417.0
2015-03-27,127.0,127.04,125.83,126.25,955869.0,0.0,1.0,127.0,127.04,125.83,126.25,955869.0
2015-03-26,127.89,128.53,126.25,126.855,1885241.0,0.0,1.0,127.89,128.53,126.25,126.855,1885241.0
2015-03-25,130.01,130.04,127.56,129.22,1530728.0,0.0,1.0,130.01,130.04,127.56,129.22,1530728.0
2015-03-24,132.12,132.26,128.94,129.5,2185388.0,0.0,1.0,132.12,132.26,128.94,129.5,2185388.0
2015-03-23,129.67,136.3589,127.61,132.04,3236005.0,0.0,1.0,129.67,136.3589,127.61,132.04,3236005.0
2015-03-20,131.78,133.25,129.73,129.98,2336523.0,0.0,1.0,131.78,133.25,129.73,129.98,2336523.0
2015-03-19,125.01,130.4,124.48,130.11,3556109.0,0.0,1.0,125.01,130.4,124.48,130.11,3556109.0
2015-03-18,123.64,124.14,121.53,122.92,4743066.0,0.0,1.0,123.64,124.14,121.53,122.92,4743066.0
2015-03-17,126.0,127.95,124.41,124.58,2483735.0,0.0,1.0,126.0,127.95,124.41,124.58,2483735.0
2015-03-16,125.09,127.46,122.5,125.645,4316912.0,0.0,1.0,125.09,127.46,122.5,125.645,4316912.0
2015-03-13,125.39,128.14,124.41,127.07,2597507.0,0.0,1.0,125.39,128.14,124.41,127.07,2597507.0
