Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,27.38,27.4,26.105,26.15,10889365.0,0.0,1.0,27.38,27.4,26.105,26.15,10889365.0
2015-04-15,26.08,27.68,25.93,27.33,11694475.0,0.0,1.0,26.08,27.68,25.93,27.33,11694475.0
2015-04-14,25.21,25.95,24.9001,25.9,7540730.0,0.0,1.0,25.21,25.95,24.9001,25.9,7540730.0
2015-04-13,24.68,25.05,24.4,24.86,4900038.0,0.0,1.0,24.68,25.05,24.4,24.86,4900038.0
2015-04-10,24.91,25.17,24.5,24.72,4587782.0,0.0,1.0,24.91,25.17,24.5,24.72,4587782.0
2015-04-09,24.2,25.33,24.05,25.12,7412955.0,0.0,1.0,24.2,25.33,24.05,25.12,7412955.0
2015-04-08,24.98,25.3501,24.19,24.22,5625877.0,0.0,1.0,24.98,25.3501,24.19,24.22,5625877.0
2015-04-07,24.66,24.89,24.1,24.65,7468162.0,0.0,1.0,24.66,24.89,24.1,24.65,7468162.0
2015-04-06,24.6,24.76,24.0332,24.5,6559407.0,0.0,1.0,24.6,24.76,24.0332,24.5,6559407.0
2015-04-02,23.67,24.73,23.56,24.66,5460802.0,0.0,1.0,23.67,24.73,23.56,24.66,5460802.0
2015-04-01,24.25,24.33,23.71,23.85,6381036.0,0.0,1.0,24.25,24.33,23.71,23.85,6381036.0
2015-03-31,24.79,25.25,24.25,24.4,8157668.0,0.0,1.0,24.79,25.25,24.25,24.4,8157668.0
2015-03-30,24.96,25.75,24.74,25.44,6539838.0,0.0,1.0,24.96,25.75,24.74,25.44,6539838.0
2015-03-27,24.32,24.795,24.1,24.78,5425300.0,0.0,1.0,24.32,24.795,24.1,24.78,5425300.0
2015-03-26,24.76,25.32,24.04,24.84,8117734.0,0.0,1.0,24.76,25.32,24.04,24.84,8117734.0
