Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,37.81,37.985,37.78,37.81,1523916.0,0.0,1.0,37.81,37.985,37.78,37.81,1523916.0
2015-04-15,38.03,38.255,37.99,38.0,1810678.0,0.0,1.0,38.03,38.255,37.99,38.0,1810678.0
2015-04-14,37.82,38.06,37.74,38.03,1964711.0,0.0,1.0,37.82,38.06,37.74,38.03,1964711.0
2015-04-13,37.73,38.055,37.68,37.97,1497363.0,0.0,1.0,37.73,38.055,37.68,37.97,1497363.0
2015-04-10,37.7,37.91,37.695,37.86,1297935.0,0.0,1.0,37.7,37.91,37.695,37.86,1297935.0
2015-04-09,37.84,38.07,37.76,37.92,2814683.0,0.0,1.0,37.84,38.07,37.76,37.92,2814683.0
2015-04-08,37.44,37.92,37.43,37.67,2310785.0,0.0,1.0,37.44,37.92,37.43,37.67,2310785.0
2015-04-07,37.58,37.76,37.33,37.34,2258354.0,0.0,1.0,37.58,37.76,37.33,37.34,2258354.0
2015-04-06,36.91,37.35,36.86,37.3,995612.0,0.0,1.0,36.91,37.35,36.86,37.3,995612.0
2015-04-02,36.92,37.1,36.82,37.08,1622377.0,0.0,1.0,36.92,37.1,36.82,37.08,1622377.0
2015-04-01,36.97,37.08,36.66,36.89,1845254.0,0.0,1.0,36.97,37.08,36.66,36.89,1845254.0
2015-03-31,37.01,37.12,36.8,36.8,2911852.0,0.0,1.0,37.01,37.12,36.8,36.8,2911852.0
2015-03-30,36.96,37.45,36.96,37.33,1554528.0,0.0,1.0,36.96,37.45,36.96,37.33,1554528.0
2015-03-27,36.77,36.97,36.65,36.91,2308417.0,0.0,1.0,36.77,36.97,36.65,36.91,2308417.0
2015-03-26,36.86,36.965,36.825,36.83,2561390.0,0.0,1.0,36.86,36.965,36.825,36.83,2561390.0
2015-03-25,37.23,37.26,36.95,37.0,3367488.0,0.0,1.0,37.23,37.26,36.95,37.0,3367488.0
2015-03-24,36.98,37.22,36.96,37.2,2411793.0,0.0,1.0,36.98,37.22,36.96,37.2,2411793.0
2015-03-23,37.11,37.22,36.97,37.08,1436544.0,0.0,1.0,37.11,37.22,36.97,37.08,1436544.0
2015-03-20,36.76,37.06,36.63,37.02,2697107.0,0.0,1.0,36.76,37.06,36.63,37.02,2697107.0
2015-03-19,36.97,37.04,36.6,36.65,2048129.0,0.0,1.0,36.97,37.04,36.6,36.65,2048129.0
2015-03-18,36.81,37.0199,36.58,36.93,3649549.0,0.0,1.0,36.81,37.0199,36.58,36.93,3649549.0
2015-03-17,36.55,36.94,36.43,36.83,1794880.0,0.0,1.0,36.55,36.94,36.43,36.83,1794880.0
2015-03-16,36.33,36.85,36.3175,36.78,1931324.0,0.0,1.0,36.33,36.85,36.3175,36.78,1931324.0
2015-03-13,36.06,36.23,35.9,36.19,2041741.0,0.0,1.0,36.06,36.23,35.9,36.19,2041741.0
2015-03-12,35.83,36.23,35.82,36.2,1987468.0,0.0,1.0,35.83,36.23,35.82,36.2,1987468.0
2015-03-11,35.45,35.75,35.38,35.59,2594615.0,0.0,1.0,35.45,35.75,35.38,35.59,2594615.0
2015-03-10,35.97,36.03,35.65,35.67,4208978.0,0.0,1.0,35.97,36.03,35.65,35.67,4208978.0
2015-03-09,36.54,36.64,36.35,36.43,2717136.0,0.0,1.0,36.54,36.64,36.35,36.43,2717136.0
2015-03-06,36.55,36.855,36.43,36.66,5180800.0,0.0,1.0,36.55,36.855,36.43,36.66,5180800.0
2015-03-05,36.67,36.735,36.46,36.71,3421992.0,0.0,1.0,36.67,36.735,36.46,36.71,3421992.0
2015-03-04,36.114,36.67,36.08,36.65,6591752.0,0.0,1.0,36.114,36.67,36.08,36.65,6591752.0
2015-03-03,36.16,36.52,36.05,36.22,3150910.0,0.0,1.0,36.16,36.52,36.05,36.22,3150910.0
2015-03-02,36.1,36.56,36.05,36.54,3893283.0,0.0,1.0,36.1,36.56,36.05,36.54,3893283.0
2015-02-27,35.8,36.3,35.79,36.2,4177679.0,0.0,1.0,35.8,36.3,35.79,36.2,4177679.0
2015-02-26,35.51,36.02,35.47,35.89,2271480.0,0.0,1.0,35.51,36.02,35.47,35.89,2271480.0
2015-02-25,35.6,35.8,35.595,35.66,2657851.0,0.0,1.0,35.6,35.8,35.595,35.66,2657851.0
2015-02-24,35.25,35.76,35.23,35.69,1975615.0,0.0,1.0,35.25,35.76,35.23,35.69,1975615.0
2015-02-23,35.28,35.31,35.09,35.24,2455649.0,0.0,1.0,35.28,35.31,35.09,35.24,2455649.0
2015-02-20,35.18,35.41,34.81,35.35,2720199.0,0.0,1.0,35.18,35.41,34.81,35.35,2720199.0
2015-02-19,35.43,35.53,35.13,35.28,2928196.0,0.0,1.0,35.43,35.53,35.13,35.28,2928196.0
2015-02-18,35.59,35.68,35.3,35.55,2068465.0,0.0,1.0,35.59,35.68,35.3,35.55,2068465.0
2015-02-17,35.86,35.86,35.57,35.68,2231246.0,0.0,1.0,35.86,35.86,35.57,35.68,2231246.0
2015-02-13,35.71,35.85,35.52,35.74,1240783.0,0.0,1.0,35.71,35.85,35.52,35.74,1240783.0
2015-02-12,35.72,35.84,35.47,35.81,2170332.0,0.0,1.0,35.72,35.84,35.47,35.81,2170332.0
2015-02-11,35.49,35.86,35.44,35.72,1747374.0,0.0,1.0,35.49,35.86,35.44,35.72,1747374.0
2015-02-10,35.69,35.795,35.42,35.75,1899828.0,0.0,1.0,35.69,35.795,35.42,35.75,1899828.0
2015-02-09,35.76,35.77,35.3,35.7,1546194.0,0.0,1.0,35.76,35.77,35.3,35.7,1546194.0
2015-02-06,36.12,36.1784,35.7,35.8,2563821.0,0.0,1.0,36.12,36.1784,35.7,35.8,2563821.0
2015-02-05,35.66,36.03,35.55,36.01,2102868.0,0.0,1.0,35.66,36.03,35.55,36.01,2102868.0
2015-02-04,34.95,35.7,34.94,35.61,3215853.0,0.0,1.0,34.95,35.7,34.94,35.61,3215853.0
2015-02-03,35.65,35.91,34.78,35.14,3584120.0,0.0,1.0,35.65,35.91,34.78,35.14,3584120.0
2015-02-02,34.64,35.21,34.21,35.21,3061269.0,0.0,1.0,34.64,35.21,34.21,35.21,3061269.0
2015-01-30,34.54,34.95,34.4,34.49,3192178.0,0.0,1.0,34.54,34.95,34.4,34.49,3192178.0
2015-01-29,34.99,35.12,34.59,35.01,2116420.0,0.0,1.0,34.99,35.12,34.59,35.01,2116420.0
2015-01-28,35.66,35.79,34.96,34.98,2919748.0,0.0,1.0,35.66,35.79,34.96,34.98,2919748.0
2015-01-26,35.44,35.66,35.29,35.64,1055505.0,0.0,1.0,35.44,35.66,35.29,35.64,1055505.0
2015-01-23,35.79,35.82,35.42,35.43,1156866.0,0.0,1.0,35.79,35.82,35.42,35.43,1156866.0
2015-01-22,35.09,35.86,34.88,35.8,1932956.0,0.0,1.0,35.09,35.86,34.88,35.8,1932956.0
2015-01-21,34.96,35.05,34.67,34.86,1784915.0,0.0,1.0,34.96,35.05,34.67,34.86,1784915.0
2015-01-20,35.5,35.65,34.78,34.95,2678935.0,0.0,1.0,35.5,35.65,34.78,34.95,2678935.0
2015-01-15,35.16,35.27,34.835,35.05,2373386.0,0.0,1.0,35.16,35.27,34.835,35.05,2373386.0
2015-01-14,35.19,35.35,34.77,35.26,3126050.0,0.0,1.0,35.19,35.35,34.77,35.26,3126050.0
2015-01-13,35.76,36.09,35.29,35.58,7296923.0,0.0,1.0,35.76,36.09,35.29,35.58,7296923.0
2015-01-12,35.77,35.77,35.21,35.54,4594594.0,0.0,1.0,35.77,35.77,35.21,35.54,4594594.0
2015-01-08,35.13,35.61,35.12,35.42,2942472.0,0.0,1.0,35.13,35.61,35.12,35.42,2942472.0
2015-01-06,34.68,35.02,34.53,34.83,6443443.0,0.0,1.0,34.68,35.02,34.53,34.83,6443443.0
2015-01-05,34.23,34.72,33.98,34.66,4375728.0,0.0,1.0,34.23,34.72,33.98,34.66,4375728.0
2015-01-02,34.48,34.68,34.1,34.45,1942158.0,0.0,1.0,34.48,34.68,34.1,34.45,1942158.0
2014-12-30,34.49,34.81,34.39,34.75,1719493.0,0.0,1.0,34.49,34.81,34.39,34.75,1719493.0
2014-12-26,34.31,34.44,34.24,34.24,1132994.0,0.0,1.0,34.31,34.44,34.24,34.24,1132994.0
2014-12-24,34.41,34.5,34.15,34.26,803424.0,0.0,1.0,34.41,34.5,34.15,34.26,803424.0
2014-12-23,34.11,34.53,33.97,34.37,2234939.0,0.0,1.0,34.11,34.53,33.97,34.37,2234939.0
2014-12-22,33.81,34.05,33.5,33.99,3691354.0,0.0,1.0,33.81,34.05,33.5,33.99,3691354.0
2014-12-19,33.41,33.7,33.32,33.54,6118842.0,0.0,1.0,33.41,33.7,33.32,33.54,6118842.0
2014-12-18,33.26,33.76,33.0,33.16,7631797.0,0.0,1.0,33.26,33.76,33.0,33.16,7631797.0
2014-12-17,33.93,33.97,32.88,33.66,9582601.0,0.0,1.0,33.93,33.97,32.88,33.66,9582601.0
2014-12-16,34.58,35.6,34.53,35.01,2635151.0,0.0,1.0,34.58,35.6,34.53,35.01,2635151.0
2014-12-15,34.89,35.15,34.445,34.7,1772038.0,0.0,1.0,34.89,35.15,34.445,34.7,1772038.0
2014-12-10,35.86,35.98,35.4,35.43,1398990.0,0.0,1.0,35.86,35.98,35.4,35.43,1398990.0
2014-12-09,36.0,36.08,35.62,35.96,1462856.0,0.0,1.0,36.0,36.08,35.62,35.96,1462856.0
2014-12-05,35.96,36.08,35.695,35.76,1393300.0,0.0,1.0,35.96,36.08,35.695,35.76,1393300.0
2014-12-04,35.68,35.87,35.62,35.77,1299533.0,0.0,1.0,35.68,35.87,35.62,35.77,1299533.0
2014-12-02,35.37,35.52,35.32,35.39,1828300.0,0.0,1.0,35.37,35.52,35.32,35.39,1828300.0
2014-12-01,35.51,35.58,35.28,35.37,1720961.0,0.0,1.0,35.51,35.58,35.28,35.37,1720961.0
2014-11-28,35.66,35.84,35.45,35.52,840454.0,0.0,1.0,35.66,35.84,35.45,35.52,840454.0
2014-11-26,35.57,35.62,35.38,35.58,1011252.0,0.0,1.0,35.57,35.62,35.38,35.58,1011252.0
2014-11-25,35.58,35.63,35.36,35.53,1056599.0,0.0,1.0,35.58,35.63,35.36,35.53,1056599.0
2014-11-24,35.48,35.59,35.315,35.56,1400483.0,0.0,1.0,35.48,35.59,35.315,35.56,1400483.0
2014-11-21,35.38,35.46,35.29,35.41,1745285.0,0.0,1.0,35.38,35.46,35.29,35.41,1745285.0
2014-11-20,34.79,35.14,34.79,35.14,1245262.0,0.0,1.0,34.79,35.14,34.79,35.14,1245262.0
2014-11-19,34.82,35.0,34.72,34.96,1767377.0,0.0,1.0,34.82,35.0,34.72,34.96,1767377.0
2014-11-18,34.66,34.95,34.64,34.83,1417136.0,0.0,1.0,34.66,34.95,34.64,34.83,1417136.0
2014-11-17,34.45,34.72,34.41,34.67,1549003.0,0.0,1.0,34.45,34.72,34.41,34.67,1549003.0
2014-11-14,34.6,34.75,34.48,34.56,1409962.0,0.0,1.0,34.6,34.75,34.48,34.56,1409962.0
2014-11-13,34.7,34.74,34.42,34.62,1480445.0,0.0,1.0,34.7,34.74,34.42,34.62,1480445.0
2014-11-12,34.42,34.67,34.4,34.64,1718271.0,0.0,1.0,34.42,34.67,34.4,34.64,1718271.0
2014-11-11,34.57,34.64,34.47,34.53,1187306.0,0.0,1.0,34.57,34.64,34.47,34.53,1187306.0
2014-11-10,34.36,34.54,34.27,34.47,1326521.0,0.0,1.0,34.36,34.54,34.27,34.47,1326521.0
2014-11-07,34.26,34.39,34.22,34.36,1174170.0,0.0,1.0,34.26,34.39,34.22,34.36,1174170.0
2014-11-06,34.4,34.49,34.2,34.34,1267328.0,0.0,1.0,34.4,34.49,34.2,34.34,1267328.0
2014-11-04,33.81,34.15,33.81,34.14,1903387.0,0.0,1.0,33.81,34.15,33.81,34.14,1903387.0
2014-11-03,33.72,33.945,33.71,33.86,1487652.0,0.0,1.0,33.72,33.945,33.71,33.86,1487652.0
2014-10-31,34.03,34.05,33.81,33.88,2345477.0,0.0,1.0,34.03,34.05,33.81,33.88,2345477.0
2014-10-30,33.38,33.83,33.29,33.64,2641239.0,0.0,1.0,33.38,33.83,33.29,33.64,2641239.0
2014-10-29,33.41,33.56,33.2,33.4,2000067.0,0.0,1.0,33.41,33.56,33.2,33.4,2000067.0
2014-10-28,33.77,33.77,33.22,33.44,3727304.0,0.0,1.0,33.77,33.77,33.22,33.44,3727304.0
2014-10-27,32.76,33.18,32.505,33.12,4249619.0,0.0,1.0,32.76,33.18,32.505,33.12,4249619.0
2014-10-24,32.46,32.97,32.42,32.75,3364956.0,0.0,1.0,32.46,32.97,32.42,32.75,3364956.0
2014-10-23,32.855,32.89,32.41,32.48,2250412.0,0.0,1.0,32.855,32.89,32.41,32.48,2250412.0
2014-10-22,32.7,32.86,32.595,32.61,3882247.0,0.0,1.0,32.7,32.86,32.595,32.61,3882247.0
2014-10-21,32.52,32.73,32.43,32.62,4768335.0,0.0,1.0,32.52,32.73,32.43,32.62,4768335.0
2014-10-20,32.12,32.48,32.1,32.44,1173270.0,0.0,1.0,32.12,32.48,32.1,32.44,1173270.0
