Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,43.12,45.26,43.1,44.325,4709896.0,0.0,1.0,43.12,45.26,43.1,44.325,4709896.0
2015-04-15,43.18,44.23,43.14,43.895,3425077.0,0.0,1.0,43.18,44.23,43.14,43.895,3425077.0
2015-04-14,43.37,43.57,42.77,43.135,2486636.0,0.0,1.0,43.37,43.57,42.77,43.135,2486636.0
2015-04-13,43.9,44.28,43.69,43.7299,3067312.0,0.0,1.0,43.9,44.28,43.69,43.7299,3067312.0
2015-04-10,43.01,43.92,42.97,43.83,3530195.0,0.0,1.0,43.01,43.92,42.97,43.83,3530195.0
2015-04-09,42.17,43.38,41.79,43.325,4134367.0,0.0,1.0,42.17,43.38,41.79,43.325,4134367.0
2015-04-08,42.4,42.83,42.25,42.55,1688979.0,0.0,1.0,42.4,42.83,42.25,42.55,1688979.0
2015-04-07,42.02,42.56,41.81,42.33,2107750.0,0.0,1.0,42.02,42.56,41.81,42.33,2107750.0
2015-04-06,41.69,42.39,41.5,41.99,3106989.0,0.0,1.0,41.69,42.39,41.5,41.99,3106989.0
2015-04-02,41.98,42.39,41.72,42.055,3435209.0,0.0,1.0,41.98,42.39,41.72,42.055,3435209.0
2015-04-01,42.42,42.4997,41.63,41.845,3617173.0,0.0,1.0,42.42,42.4997,41.63,41.845,3617173.0
2015-03-31,42.56,42.56,41.82,42.3,4978668.0,0.0,1.0,42.56,42.56,41.82,42.3,4978668.0
2015-03-30,41.56,43.39,40.99,42.68,12818201.0,0.0,1.0,41.56,43.39,40.99,42.68,12818201.0
2015-03-27,40.17,42.67,39.61,42.32,8065827.0,0.0,1.0,40.17,42.67,39.61,42.32,8065827.0
2015-03-26,39.31,40.2,39.27,39.98,3854249.0,0.0,1.0,39.31,40.2,39.27,39.98,3854249.0
2015-03-25,41.11,41.15,39.77,39.83,4244220.0,0.0,1.0,41.11,41.15,39.77,39.83,4244220.0
2015-03-24,41.44,41.605,41.06,41.11,2399799.0,0.0,1.0,41.44,41.605,41.06,41.11,2399799.0
2015-03-23,42.25,42.25,41.45,41.46,2550785.0,0.0,1.0,42.25,42.25,41.45,41.46,2550785.0
2015-03-20,42.08,42.35,41.84,42.27,5392677.0,0.0,1.0,42.08,42.35,41.84,42.27,5392677.0
2015-03-19,41.31,41.83,41.21,41.8,3475347.0,0.0,1.0,41.31,41.83,41.21,41.8,3475347.0
2015-03-18,40.79,41.73,40.57,41.6,2872837.0,0.0,1.0,40.79,41.73,40.57,41.6,2872837.0
2015-03-17,41.23,41.29,40.63,40.98,2853966.0,0.0,1.0,41.23,41.29,40.63,40.98,2853966.0
2015-03-16,40.33,41.51,40.33,41.41,5005648.0,0.0,1.0,40.33,41.51,40.33,41.41,5005648.0
2015-03-13,40.11,40.4,39.48,39.76,3785558.0,0.0,1.0,40.11,40.4,39.48,39.76,3785558.0
2015-03-12,39.84,40.325,39.5,40.3,3067751.0,0.0,1.0,39.84,40.325,39.5,40.3,3067751.0
2015-03-11,39.89,40.05,39.35,39.71,4768202.0,0.0,1.0,39.89,40.05,39.35,39.71,4768202.0
2015-03-10,40.56,40.74,39.64,39.67,5100226.0,0.0,1.0,40.56,40.74,39.64,39.67,5100226.0
