Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,87.88,88.16,87.11,87.73,9453200.0,0.0,1.0,87.88,88.16,87.11,87.73,9453200.0
2015-04-15,87.14,88.53,87.14,88.08,15176272.0,0.0,1.0,87.14,88.53,87.14,88.08,15176272.0
2015-04-14,85.6,87.475,85.53,86.63,15483462.0,0.0,1.0,85.6,87.475,85.53,86.63,15483462.0
2015-04-13,85.92,86.25,85.24,85.34,9670430.0,0.0,1.0,85.92,86.25,85.24,85.34,9670430.0
2015-04-10,85.37,86.04,84.77,85.56,12738429.0,0.0,1.0,85.37,86.04,84.77,85.56,12738429.0
2015-04-09,84.0,84.73,83.81,84.65,13240190.0,0.0,1.0,84.0,84.73,83.81,84.65,13240190.0
2015-04-08,85.8,85.9,84.02,84.06,16167628.0,0.0,1.0,85.8,85.9,84.02,84.06,16167628.0
2015-04-07,85.01,86.17,84.756,85.75,11795115.0,0.0,1.0,85.01,86.17,84.756,85.75,11795115.0
2015-04-06,85.15,85.64,84.2,85.13,10894399.0,0.0,1.0,85.15,85.64,84.2,85.13,10894399.0
2015-04-02,84.09,84.94,83.854,84.3,11258739.0,0.0,1.0,84.09,84.94,83.854,84.3,11258739.0
2015-04-01,85.7,86.0,84.26,84.46,14413119.0,0.0,1.0,85.7,86.0,84.26,84.46,14413119.0
2015-03-31,84.85,85.34,84.46,85.0,13288381.0,0.0,1.0,84.85,85.34,84.46,85.0,13288381.0
2015-03-30,84.27,85.82,84.25,85.63,15508216.0,0.0,1.0,84.27,85.82,84.25,85.63,15508216.0
2015-03-27,84.04,84.05,83.33,83.58,10940100.0,0.0,1.0,84.04,84.05,83.33,83.58,10940100.0
2015-03-26,85.3,85.57,84.09,84.32,14374559.0,0.0,1.0,85.3,85.57,84.09,84.32,14374559.0
2015-03-25,85.05,85.57,84.77,84.86,11815990.0,0.0,1.0,85.05,85.57,84.77,84.86,11815990.0
2015-03-24,85.3,85.78,84.5,84.52,10099541.0,0.0,1.0,85.3,85.78,84.5,84.52,10099541.0
2015-03-23,85.02,85.7801,85.01,85.43,17163239.0,0.0,1.0,85.02,85.7801,85.01,85.43,17163239.0
2015-03-20,84.67,85.4,84.39,84.54,34879901.0,0.0,1.0,84.67,85.4,84.39,84.54,34879901.0
2015-03-19,85.19,85.5,84.325,84.41,12676386.0,0.0,1.0,85.19,85.5,84.325,84.41,12676386.0
2015-03-18,83.54,86.37,83.43,86.07,18713861.0,0.0,1.0,83.54,86.37,83.43,86.07,18713861.0
2015-03-17,84.54,84.85,84.015,84.08,12936124.0,0.0,1.0,84.54,84.85,84.015,84.08,12936124.0
2015-03-16,83.71,84.86,83.27,84.76,13322697.0,0.0,1.0,83.71,84.86,83.27,84.76,13322697.0
2015-03-13,83.9,84.18,82.68,83.87,16735903.0,0.0,1.0,83.9,84.18,82.68,83.87,16735903.0
2015-03-12,84.43,84.72,84.06,84.22,10753161.0,0.0,1.0,84.43,84.72,84.06,84.22,10753161.0
2015-03-11,84.93,84.93,84.0,84.02,12992367.0,0.0,1.0,84.93,84.93,84.0,84.02,12992367.0
2015-03-10,84.82,85.53,84.24,84.26,17195460.0,0.0,1.0,84.82,85.53,84.24,84.26,17195460.0
2015-03-09,86.12,86.38,85.12,85.16,14503802.0,0.0,1.0,86.12,86.38,85.12,85.16,14503802.0
2015-03-06,86.41,86.6,85.32,85.63,16070466.0,0.0,1.0,86.41,86.6,85.32,85.63,16070466.0
2015-03-05,87.07,87.1864,86.52,86.74,12527581.0,0.0,1.0,87.07,87.1864,86.52,86.74,12527581.0
2015-03-04,87.96,87.96,86.93,87.18,13466770.0,0.0,1.0,87.96,87.96,86.93,87.18,13466770.0
2015-03-03,87.93,88.02,87.13,87.62,13397350.0,0.0,1.0,87.93,88.02,87.13,87.62,13397350.0
2015-03-02,88.34,88.52,87.35,88.04,13788650.0,0.0,1.0,88.34,88.52,87.35,88.04,13788650.0
2015-02-27,88.89,89.28,88.34,88.54,13086050.0,0.0,1.0,88.89,89.28,88.34,88.54,13086050.0
2015-02-26,89.13,89.18,88.08,88.65,13979400.0,0.0,1.0,89.13,89.18,88.08,88.65,13979400.0
2015-02-25,89.57,89.7,89.08,89.6,9920841.0,0.0,1.0,89.57,89.7,89.08,89.6,9920841.0
2015-02-24,89.33,89.78,89.13,89.42,9989332.0,0.0,1.0,89.33,89.78,89.13,89.42,9989332.0
2015-02-23,89.23,89.55,88.74,89.01,12761403.0,0.0,1.0,89.23,89.55,88.74,89.01,12761403.0
2015-02-20,89.36,89.94,88.85,89.92,15931236.0,0.0,1.0,89.36,89.94,88.85,89.92,15931236.0
2015-02-19,89.69,90.42,88.58,89.44,19113212.0,0.0,1.0,89.69,90.42,88.58,89.44,19113212.0
2015-02-18,91.98,91.99,90.39,91.01,19115471.0,0.0,1.0,91.98,91.99,90.39,91.01,19115471.0
2015-02-17,92.75,93.07,92.29,93.05,11642110.0,0.0,1.0,92.75,93.07,92.29,93.05,11642110.0
2015-02-13,92.7,93.45,92.28,93.37,12042337.0,0.0,1.0,92.7,93.45,92.28,93.37,12042337.0
2015-02-12,91.44,92.66,91.02,92.37,14837206.0,0.0,1.0,91.44,92.66,91.02,92.37,14837206.0
2015-02-11,90.01,90.83,89.79,90.6,11554276.0,0.0,1.0,90.01,90.83,89.79,90.6,11554276.0
2015-02-10,91.74,91.74,90.3,91.01,12940658.0,0.0,1.0,91.74,91.74,90.3,91.01,12940658.0
2015-02-09,91.4,92.29,91.2366,91.56,11349884.0,0.0,1.0,91.4,92.29,91.2366,91.56,11349884.0
2015-02-04,91.6,92.27,90.51,91.46,19570594.0,0.0,1.0,91.6,92.27,90.51,91.46,19570594.0
2015-02-03,90.95,92.33,90.81,92.25,21854846.0,0.0,1.0,90.95,92.33,90.81,92.25,21854846.0
2015-02-02,87.87,89.59,87.5,89.58,20280823.0,0.0,1.0,87.87,89.59,87.5,89.58,20280823.0
