Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,50.97,51.0,50.69,50.88,455690.0,0.0,1.0,50.97,51.0,50.69,50.88,455690.0
2015-04-15,51.53,51.56,51.02,51.065,408769.0,0.0,1.0,51.53,51.56,51.02,51.065,408769.0
2015-04-14,51.26,51.51,50.89,51.28,601003.0,0.0,1.0,51.26,51.51,50.89,51.28,601003.0
2015-04-13,51.61,51.81,51.27,51.34,615860.0,0.0,1.0,51.61,51.81,51.27,51.34,615860.0
2015-04-10,51.36,51.79,51.25,51.7,560646.0,0.0,1.0,51.36,51.79,51.25,51.7,560646.0
2015-04-09,50.79,51.38,50.7,51.37,548061.0,0.0,1.0,50.79,51.38,50.7,51.37,548061.0
2015-04-08,50.7,51.8,50.59,50.76,497606.0,0.0,1.0,50.7,51.8,50.59,50.76,497606.0
2015-04-07,50.82,51.28,50.62,50.63,481826.0,0.0,1.0,50.82,51.28,50.62,50.63,481826.0
2015-04-06,49.96,50.77,49.81,50.76,893586.0,0.0,1.0,49.96,50.77,49.81,50.76,893586.0
2015-04-02,50.16,50.72,49.97,50.23,455521.0,0.0,1.0,50.16,50.72,49.97,50.23,455521.0
2015-04-01,50.81,50.81,49.905,50.26,823895.0,0.0,1.0,50.81,50.81,49.905,50.26,823895.0
2015-03-31,51.08,51.41,50.87,50.89,688042.0,0.0,1.0,51.08,51.41,50.87,50.89,688042.0
2015-03-30,51.0,51.3,50.88,51.28,558725.0,0.0,1.0,51.0,51.3,50.88,51.28,558725.0
2015-03-27,50.46,50.845,50.29,50.79,410872.0,0.0,1.0,50.46,50.845,50.29,50.79,410872.0
2015-03-26,50.45,50.8,50.2,50.52,551209.0,0.0,1.0,50.45,50.8,50.2,50.52,551209.0
2015-03-25,51.68,52.04,50.575,50.69,614882.0,0.072,1.0,51.68,52.04,50.575,50.69,614882.0
2015-03-24,51.82,52.19,51.6,51.78,492090.0,0.0,1.0,51.746499349907,52.11597454789,51.52681139435,51.706556085261,492090.0
2015-03-23,51.74,52.23,51.56,51.92,850923.0,0.0,1.0,51.666612820614,52.155917812537,51.486868129703,51.846357511524,850923.0
2015-03-20,52.18,52.37,51.4,51.8,1247965.0,0.0,1.0,52.105988731728,52.295719238801,51.327095071116,51.726527717584,1247965.0
2015-03-19,52.05,52.22,51.68,51.94,658651.0,0.0,1.0,51.976173121626,52.145931996375,51.606697923644,51.866329143848,658651.0
2015-03-18,51.11,52.33,50.764,52.075,1113343.0,0.0,1.0,51.037506402427,52.255775974154,50.691997163232,52.001137662031,1113343.0
2015-03-17,50.6,51.25,50.37,51.13,1160361.0,0.0,1.0,50.528229778181,51.177307828691,50.298556006462,51.05747803475,1160361.0
2015-03-16,50.94,51.06,50.72,50.94,1403153.0,0.0,1.0,50.867747527678,50.987577321619,50.648059572121,50.867747527678,1403153.0
2015-03-13,51.31,51.395,50.02,50.54,1025895.0,0.0,1.0,51.237222725661,51.322102163035,49.949052440802,50.46831488121,1025895.0
2015-03-12,51.41,51.86,51.14,51.28,859937.0,0.0,1.0,51.337080887278,51.786442614554,51.067463850912,51.207265277176,859937.0
2015-03-11,50.99,51.45,50.97,51.09,990910.0,0.0,1.0,50.917676608487,51.377024151925,50.897704976163,51.017534770104,990910.0
2015-03-10,51.24,51.48,50.86,51.14,1117577.0,0.0,1.0,51.167322012529,51.40698160041,50.787860998385,51.067463850912,1117577.0
2015-03-09,51.78,51.93,51.52,51.86,766804.0,0.0,1.0,51.706556085261,51.856343327686,51.446924865057,51.786442614554,766804.0
2015-03-06,52.42,52.6,51.29,51.595,890426.0,0.0,1.0,52.345648319609,52.52539301052,51.217251093338,51.521818486269,890426.0
2015-03-05,52.37,52.79,52.37,52.64,757705.0,0.0,1.0,52.295719238801,52.715123517592,52.295719238801,52.565336275166,757705.0
2015-03-04,52.7,53.01,52.09,52.3,1089868.0,0.0,1.0,52.625251172137,52.934811473149,52.016116386273,52.225818525669,1089868.0
2015-03-03,53.17,53.32,52.6,53.08,836872.0,0.0,1.0,53.094584531736,53.244371774162,52.52539301052,53.004712186281,836872.0
2015-03-02,52.98,53.576,52.98,53.42,1206246.0,0.0,1.0,52.904854024664,53.500008667901,52.904854024664,53.344229935779,1206246.0
2015-02-27,53.44,53.72,52.99,53.01,862085.0,0.0,1.0,53.364201568102,53.64380442063,52.914839840826,52.934811473149,862085.0
2015-02-26,53.11,53.85,53.11,53.64,1052663.0,0.0,1.0,53.034669634766,53.773620030732,53.034669634766,53.563917891336,1052663.0
2015-02-25,52.68,53.32,52.37,53.23,795625.0,0.0,1.0,52.605279539813,53.244371774162,52.295719238801,53.154499428707,795625.0
2015-02-24,52.13,52.645,51.8,52.57,1115927.0,0.0,1.0,52.05605965092,52.570329183247,51.726527717584,52.495435562035,1115927.0
2015-02-23,52.57,52.71,51.92,52.0,1186386.0,0.0,1.0,52.495435562035,52.635236988298,51.846357511524,51.926244040818,1186386.0
2015-02-20,52.39,52.75,52.16,52.53,1323887.0,0.0,1.0,52.315690871124,52.675180252945,52.086017099405,52.455492297388,1323887.0
2015-02-19,53.0,53.24,52.4,52.57,1120584.0,0.0,1.0,52.924825656988,53.164485244868,52.325676687286,52.495435562035,1120584.0
2015-02-18,52.0,53.72,51.57,53.56,1923776.0,0.0,1.0,51.926244040818,53.64380442063,51.496853945865,53.484031362042,1923776.0
2015-02-17,52.6,53.0,52.08,52.65,1465242.0,0.0,1.0,52.52539301052,52.924825656988,52.006130570111,52.575322091328,1465242.0
2015-02-13,52.63,52.97,52.27,52.74,968492.0,0.0,1.0,52.555350459005,52.894868208502,52.195861077184,52.665194436783,968492.0
2015-02-12,51.78,52.45,51.4,52.42,808402.0,0.0,1.0,51.706556085261,52.375605768094,51.327095071116,52.345648319609,808402.0
2015-02-11,51.1,51.58,50.84,51.56,1370105.0,0.0,1.0,51.027520586265,51.506839762027,50.767889366061,51.486868129703,1370105.0
2015-02-10,50.18,51.05,49.99,51.0,1910231.0,0.0,1.0,50.108825499389,50.977591505457,49.919094992317,50.927662424648,1910231.0
2015-02-09,50.2,50.4097,49.82,50.01,626952.0,0.0,1.0,50.128797131713,50.338199696623,49.749336117568,49.93906662464,626952.0
2015-02-04,50.57,51.14,50.38,50.67,624469.0,0.0,1.0,50.498272329695,51.067463850912,50.308541822623,50.598130491312,624469.0
2015-02-03,50.59,51.08,50.35,50.7,755237.0,0.0,1.0,50.518243962019,51.007548953942,50.278584374138,50.628087939797,755237.0
2015-02-02,50.2,50.74,49.42,50.5,815689.0,0.0,1.0,50.128797131713,50.668031204444,49.3499034711,50.428371616564,815689.0
2015-01-30,50.12,50.5,49.83,50.025,1362812.0,0.0,1.0,50.048910602419,50.428371616564,49.75932193373,49.954045348883,1362812.0
2015-01-29,50.12,50.8,49.65,50.73,814686.0,0.0,1.0,50.048910602419,50.727946101414,49.579577242819,50.658045388283,814686.0
2015-01-28,50.51,50.89,49.99,49.99,612292.0,0.0,1.0,50.438357432725,50.81781844687,49.919094992317,49.919094992317,612292.0
2015-01-26,50.7,50.92,50.24,50.75,615046.0,0.0,1.0,50.628087939797,50.847775895355,50.168740396359,50.678017020606,615046.0
2015-01-23,50.77,51.23,50.49,50.89,1008077.0,0.0,1.0,50.697988652929,51.157336196367,50.418385800402,50.81781844687,1008077.0
2015-01-22,50.0,50.94,49.71,50.88,1410497.0,0.0,1.0,49.929080808479,50.867747527678,49.63949213979,50.807832630708,1410497.0
2015-01-21,49.97,50.4,49.75,50.14,1070580.0,0.0,1.0,49.899123359994,50.328513454947,49.679435404436,50.068882234743,1070580.0
2015-01-20,50.98,51.03,49.85,50.3,1134394.0,0.0,1.0,50.907690792325,50.957619873133,49.779293566053,50.22865529333,1134394.0
2015-01-15,51.25,51.26,50.52,50.59,933684.0,0.0,1.0,51.177307828691,51.187293644852,50.448343248887,50.518243962019,933684.0
2015-01-14,51.61,51.96,50.93,51.34,805912.0,0.0,1.0,51.536797210512,51.886300776171,50.857761711516,51.267180174146,805912.0
2015-01-13,52.74,53.16,51.74,52.1,764742.0,0.0,1.0,52.665194436783,53.084598715575,51.666612820614,52.026102202435,764742.0
2015-01-12,52.87,53.24,52.19,52.26,710012.0,0.0,1.0,52.795010046885,53.164485244868,52.11597454789,52.185875261022,710012.0
2015-01-08,52.54,53.81,52.54,53.54,1409985.0,0.0,1.0,52.46547811355,53.733676766085,52.46547811355,53.464059729719,1409985.0
2015-01-06,51.59,52.1,50.92,50.93,1830802.0,0.0,1.0,51.516825578188,52.026102202435,50.847775895355,50.857761711516,1830802.0
2015-01-05,51.94,52.15,51.29,51.57,1458952.0,0.0,1.0,51.866329143848,52.076031283243,51.217251093338,51.496853945865,1458952.0
2015-01-02,52.13,53.12,51.88,51.93,1825800.0,0.0,1.0,52.05605965092,53.044655450928,51.806414246878,51.856343327686,1825800.0
2014-12-31,53.55,54.19,53.22,53.27,760300.0,0.0,1.0,53.474045545881,54.113137780229,53.144513612545,53.194442693353,760300.0
2014-12-30,53.55,53.97,53.29,53.34,549300.0,0.0,1.0,53.474045545881,53.893449824672,53.214414325677,53.264343406485,549300.0
2014-12-29,53.83,54.02,53.64,53.73,391100.0,0.0,1.0,53.753648398408,53.94337890548,53.563917891336,53.653790236791,391100.0
2014-12-26,53.75,54.38,53.75,53.84,295500.0,0.0,1.0,53.673761869115,54.302868287302,53.673761869115,53.76363421457,295500.0
2014-12-24,53.98,54.14,53.76,53.76,369200.0,0.0,1.0,53.903435640834,54.063208699421,53.683747685276,53.683747685276,369200.0
2014-12-23,54.37,54.49,53.62,54.0,504800.0,0.066,1.0,54.29288247114,54.41271226508,53.543946259013,53.923407273157,504800.0
2014-12-22,53.81,54.32,53.7,54.09,588700.0,0.0,1.0,53.668082443099,54.17673737798,53.558372555183,53.947343975975,588700.0
2014-12-19,54.21,54.79,53.69,53.7,1333900.0,0.0,1.0,54.067027490065,54.645497808166,53.548398929009,53.558372555183,1333900.0
2014-12-18,54.05,54.12,53.31,54.1,807800.0,0.0,1.0,53.907449471278,53.977264854497,53.169401134391,53.957317602149,807800.0
2014-12-17,53.0,53.43,52.37,53.19,1190400.0,0.0,1.0,52.860218722993,53.289084648481,52.231880274021,53.049717620302,1190400.0
2014-12-16,53.19,54.0,52.98,53.0,648200.0,0.0,1.0,53.049717620302,53.857581340408,52.840271470644,52.860218722993,648200.0
2014-12-15,54.23,54.45,53.37,53.41,933500.0,0.0,1.0,54.086974742413,54.306394518244,53.229242891436,53.269137396133,933500.0
2014-12-12,53.99,54.78,53.99,54.21,1007200.0,0.0,1.0,53.847607714234,54.635524181991,53.847607714234,54.067027490065,1007200.0
2014-12-11,54.47,55.15,54.35,54.45,647100.0,0.0,1.0,54.326341770593,55.004548350435,54.206658256503,54.306394518244,647100.0
2014-12-10,54.93,55.25,53.97,54.1,836800.0,0.0,1.0,54.785128574604,55.104284612176,53.827660461885,53.957317602149,836800.0
2014-12-09,55.54,55.56,54.67,55.3,774500.0,0.0,1.0,55.393519771227,55.413467023575,54.525814294076,55.154152743047,774500.0
2014-12-08,55.94,56.1,55.21,55.65,1106100.0,0.0,1.0,55.792464818193,55.952042836979,55.06439010748,55.503229659142,1106100.0
2014-12-05,55.61,56.25,55.56,56.03,861100.0,0.0,1.0,55.463335154446,56.101647229591,55.413467023575,55.88222745376,861100.0
2014-12-04,55.65,55.91,55.42,55.61,915800.0,0.0,1.0,55.503229659142,55.76254393967,55.273836257137,55.463335154446,915800.0
