Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,35.4,36.03,35.25,35.83,911688.0,0.0,1.0,35.4,36.03,35.25,35.83,911688.0
2015-04-15,35.32,35.72,35.265,35.49,1276212.0,0.0,1.0,35.32,35.72,35.265,35.49,1276212.0
2015-04-14,35.07,35.36,35.02,35.2,779089.0,0.0,1.0,35.07,35.36,35.02,35.2,779089.0
2015-04-13,35.09,35.42,35.08,35.16,654907.0,0.0,1.0,35.09,35.42,35.08,35.16,654907.0
2015-04-10,35.11,35.31,34.98,35.2,1461879.0,0.0,1.0,35.11,35.31,34.98,35.2,1461879.0
2015-04-09,35.14,35.23,34.8,34.96,1400801.0,0.0,1.0,35.14,35.23,34.8,34.96,1400801.0
2015-04-08,35.96,36.12,35.01,35.25,1640899.0,0.0,1.0,35.96,36.12,35.01,35.25,1640899.0
2015-04-07,36.02,36.21,35.88,36.07,916131.0,0.0,1.0,36.02,36.21,35.88,36.07,916131.0
2015-04-06,35.48,36.3,35.48,36.07,779116.0,0.0,1.0,35.48,36.3,35.48,36.07,779116.0
2015-04-02,35.43,36.01,35.31,35.79,870104.0,0.0,1.0,35.43,36.01,35.31,35.79,870104.0
2015-04-01,35.48,35.625,34.95,35.41,1056130.0,0.0,1.0,35.48,35.625,34.95,35.41,1056130.0
2015-03-31,35.25,35.25,34.73,35.02,789312.0,0.0,1.0,35.25,35.25,34.73,35.02,789312.0
2015-03-30,35.03,35.41,35.03,35.35,695652.0,0.0,1.0,35.03,35.41,35.03,35.35,695652.0
2015-03-27,34.61,35.08,34.54,34.97,1070339.0,0.0,1.0,34.61,35.08,34.54,34.97,1070339.0
2015-03-26,34.54,34.8,34.46,34.67,674331.0,0.0,1.0,34.54,34.8,34.46,34.67,674331.0
2015-03-25,35.22,35.22,34.74,34.74,772171.0,0.0,1.0,35.22,35.22,34.74,34.74,772171.0
2015-03-24,35.06,35.26,34.89,35.07,953757.0,0.0,1.0,35.06,35.26,34.89,35.07,953757.0
2015-03-23,35.27,35.6,35.1,35.1,1405301.0,0.0,1.0,35.27,35.6,35.1,35.1,1405301.0
2015-03-20,35.84,36.04,35.77,35.99,1397719.0,0.0,1.0,35.84,36.04,35.77,35.99,1397719.0
2015-03-19,35.74,35.76,35.3508,35.54,873443.0,0.0,1.0,35.74,35.76,35.3508,35.54,873443.0
2015-03-18,34.56,36.0,34.36,35.87,1207931.0,0.0,1.0,34.56,36.0,34.36,35.87,1207931.0
2015-03-17,34.95,34.95,34.51,34.67,683399.0,0.0,1.0,34.95,34.95,34.51,34.67,683399.0
2015-03-16,34.78,35.04,34.59,35.03,753233.0,0.0,1.0,34.78,35.04,34.59,35.03,753233.0
2015-03-13,35.16,35.19,34.405,34.61,1422047.0,0.0,1.0,35.16,35.19,34.405,34.61,1422047.0
2015-03-12,34.67,35.265,34.62,35.17,807603.0,0.0,1.0,34.67,35.265,34.62,35.17,807603.0
2015-03-11,34.72,34.72,34.19,34.58,959631.0,0.0,1.0,34.72,34.72,34.19,34.58,959631.0
2015-03-10,34.81,34.9,34.58,34.7,1161861.0,0.0,1.0,34.81,34.9,34.58,34.7,1161861.0
2015-03-09,35.23,35.47,35.12,35.25,849580.0,0.0,1.0,35.23,35.47,35.12,35.25,849580.0
2015-03-06,35.31,35.58,35.055,35.17,1722125.0,0.0,1.0,35.31,35.58,35.055,35.17,1722125.0
2015-03-05,35.69,35.9,35.44,35.58,871779.0,0.0,1.0,35.69,35.9,35.44,35.58,871779.0
2015-03-04,35.9,35.9,35.52,35.69,968641.0,0.0,1.0,35.9,35.9,35.52,35.69,968641.0
2015-03-03,36.03,36.38,35.94,36.1,816748.0,0.0,1.0,36.03,36.38,35.94,36.1,816748.0
2015-03-02,35.66,36.25,35.54,36.17,823350.0,0.0,1.0,35.66,36.25,35.54,36.17,823350.0
2015-02-27,35.71,35.95,35.581,35.7,663238.0,0.0,1.0,35.71,35.95,35.581,35.7,663238.0
2015-02-26,36.06,36.06,35.64,35.77,906690.0,0.0,1.0,36.06,36.06,35.64,35.77,906690.0
2015-02-25,35.9,36.275,35.9,36.04,788470.0,0.0,1.0,35.9,36.275,35.9,36.04,788470.0
2015-02-24,35.74,36.03,35.7,35.96,730676.0,0.0,1.0,35.74,36.03,35.7,35.96,730676.0
2015-02-23,36.0,36.12,35.57,35.81,934385.0,0.0,1.0,36.0,36.12,35.57,35.81,934385.0
2015-02-20,35.6,36.17,35.37,36.03,769204.0,0.0,1.0,35.6,36.17,35.37,36.03,769204.0
2015-02-18,35.93,36.1,35.69,35.83,609017.0,0.0,1.0,35.93,36.1,35.69,35.83,609017.0
2015-02-17,35.96,36.03,35.53,35.88,835008.0,0.0,1.0,35.96,36.03,35.53,35.88,835008.0
2015-02-13,35.39,36.105,35.39,36.06,1053890.0,0.141,1.0,35.39,36.105,35.39,36.06,1053890.0
2015-02-12,35.5,35.67,35.16,35.61,849841.0,0.0,1.0,35.361730338941,35.531068202536,35.023054611751,35.471301897738,849841.0
2015-02-11,35.29,35.39,35.02,35.25,726900.0,0.0,1.0,35.152548272147,35.252158780144,34.883599900555,35.112704068948,726900.0
2015-02-10,35.28,35.44,35.01,35.39,1238347.0,0.0,1.0,35.142587221347,35.301964034143,34.873638849756,35.252158780144,1238347.0
2015-02-09,35.25,35.67,34.95,35.11,1807765.0,0.0,1.0,35.112704068948,35.531068202536,34.813872544957,34.973249357753,1807765.0
2015-02-06,34.87,35.4,34.75,35.19,1980694.0,0.0,1.0,34.73418413856,35.262119830944,34.614651528963,35.05293776415,1980694.0
2015-02-05,34.88,35.39,34.41,34.86,2360494.0,0.0,1.0,34.744145189359,35.252158780144,34.275975801773,34.72422308776,2360494.0
2015-02-04,35.18,35.37,34.71,34.89,1372185.0,0.0,1.0,35.04297671335,35.232236678545,34.574807325764,34.754106240159,1372185.0
2015-02-03,35.0,35.48,34.86,35.39,1195411.0,0.0,1.0,34.863677798956,35.341808237342,34.72422308776,35.252158780144,1195411.0
2015-02-02,34.13,34.81,33.81,34.74,1548787.0,0.0,1.0,33.997066379382,34.674417833762,33.678312753791,34.604690478164,1548787.0
2015-01-30,33.92,34.4,33.91,34.1,1632348.0,0.0,1.0,33.787884312588,34.266014750974,33.777923261788,33.967183226983,1632348.0
2015-01-29,34.23,34.3686,33.54,34.16,1956587.0,0.0,1.0,34.096676887379,34.234737051463,33.409364382199,34.026949531781,1956587.0
2015-01-28,34.95,35.252,34.17,34.26,801410.0,0.0,1.0,34.813872544957,35.114696279108,34.036910582581,34.126560039778,801410.0
2015-01-26,35.12,35.25,34.83,35.19,691225.0,0.0,1.0,34.983210408552,35.112704068948,34.694339935361,35.05293776415,691225.0
2015-01-23,35.2,35.52,35.17,35.17,597385.0,0.0,1.0,35.06289881495,35.38165244054,35.033015662551,35.033015662551,597385.0
2015-01-22,35.32,35.54,34.96,35.33,874419.0,0.0,1.0,35.182431424546,35.40157454214,34.823833595757,35.192392475346,874419.0
2015-01-21,34.3,35.14,34.25,35.1,917878.0,0.0,1.0,34.166404242977,35.003132510152,34.116598988978,34.963288306953,917878.0
2015-01-20,34.63,34.72,34.04,34.4,969170.0,0.0,1.0,34.495118919367,34.584768376564,33.907416922184,34.266014750974,969170.0
2015-01-15,34.65,34.9,34.2,34.22,972024.0,0.0,1.0,34.515041020966,34.764067290959,34.06679373498,34.086715836579,972024.0
2015-01-14,34.03,34.66,33.93,34.46,637337.0,0.0,1.0,33.897455871385,34.525002071766,33.797845363388,34.325781055772,637337.0
2015-01-13,34.85,35.18,34.15,34.68,1137430.0,0.0,1.0,34.71426203696,35.04297671335,34.016988480981,34.544924173365,1137430.0
2015-01-12,35.34,35.39,34.38,34.6,1431985.0,0.0,1.0,35.202353526146,35.252158780144,34.246092649374,34.465235766968,1431985.0
2015-01-08,35.96,36.09,35.68,36.05,820303.0,0.0,1.0,35.819938675727,35.949432336123,35.541029253336,35.909588132925,820303.0
2015-01-06,35.65,35.92,35.11,35.5,1331769.0,0.0,1.0,35.511146100936,35.780094472528,34.973249357753,35.361730338941,1331769.0
2015-01-05,37.26,37.42,35.665,35.71,1367541.0,0.0,1.0,37.114875279688,37.274252092484,35.526087677136,35.570912405735,1367541.0
2015-01-02,38.47,38.59,37.5,38.08,604422.0,0.0,1.0,38.320162426452,38.439695036049,37.353940498881,37.931681445264,604422.0
2014-12-31,38.62,38.65,38.04,38.07,465102.0,0.0,1.0,38.469578188448,38.499461340847,37.891837242065,37.921720394464,465102.0
2014-12-30,38.91,38.91,38.42,38.43,437580.0,0.0,1.0,38.758448661639,38.758448661639,38.270357172454,38.280318223254,437580.0
2014-12-26,39.04,39.15,38.88,38.95,249410.0,0.0,1.0,38.887942322035,38.997513880832,38.72856550924,38.798292864838,249410.0
2014-12-24,38.93,39.0672,38.74,38.76,303489.0,0.0,1.0,38.778370763239,38.91503638021,38.589110798044,38.609032899644,303489.0
2014-12-23,38.93,39.23,38.66,38.72,645004.0,0.0,1.0,38.778370763239,39.07720228723,38.509422391647,38.569188696445,645004.0
2014-12-22,38.92,38.99,38.47,38.74,467021.0,0.0,1.0,38.768409712439,38.838137068037,38.320162426452,38.589110798044,467021.0
2014-12-19,38.16,38.7,38.06,38.59,1558345.0,0.0,1.0,38.011369851662,38.549266594845,37.911759343665,38.439695036049,1558345.0
2014-12-18,37.58,38.1,37.23,38.1,688119.0,0.0,1.0,37.433628905279,37.951603546863,37.084992127289,37.951603546863,688119.0
2014-12-17,36.31,37.0,35.69,36.91,1240603.0,0.0,1.0,36.168575453717,36.855887958896,35.550990304135,36.766238501699,1240603.0
2014-12-16,36.1,37.045,36.07,36.27,708620.0,0.0,1.0,35.959393386923,36.900712687495,35.929510234524,36.128731250518,708620.0
2014-12-15,36.55,36.73,36.01,36.24,721018.0,0.0,1.0,36.40764067291,36.586939587304,35.869743929726,36.098848098119,721018.0
2014-12-10,37.82,38.02,36.77,36.84,779295.0,0.0,1.0,37.672694124472,37.871915140466,36.626783790503,36.696511146101,779295.0
2014-12-09,37.39,38.18,37.39,38.12,615233.0,0.0,1.0,37.244368940085,38.031291953261,37.244368940085,37.971525648463,615233.0
2014-12-05,38.67,38.8,38.46,38.59,392184.0,0.0,1.0,38.519383442446,38.648877102842,38.310201375653,38.439695036049,392184.0
2014-12-04,38.76,38.81,38.32,38.57,442524.0,0.0,1.0,38.609032899644,38.658838153642,38.170746664457,38.419772934449,442524.0
2014-12-02,38.47,38.76,37.97,38.02,958559.0,0.0,1.0,38.320162426452,38.609032899644,37.822109886467,37.871915140466,958559.0
2014-12-01,38.18,38.47,37.84,38.44,848082.0,0.0,1.0,38.031291953261,38.320162426452,37.692616226071,38.290279274053,848082.0
2014-11-28,38.46,38.69,38.19,38.34,676375.0,0.0,1.0,38.310201375653,38.539305544046,38.041253004061,38.190668766056,676375.0
2014-11-26,38.44,38.56,38.07,38.54,550887.0,0.0,1.0,38.290279274053,38.40981188365,37.921720394464,38.38988978205,550887.0
2014-11-25,38.45,38.59,38.085,38.39,772666.0,0.0,1.0,38.300240324853,38.439695036049,37.936661970664,38.240474020055,772666.0
2014-11-24,38.29,38.57,38.24,38.4,643336.0,0.0,1.0,38.140863512058,38.419772934449,38.091058258059,38.250435070854,643336.0
2014-11-21,37.95,38.5,37.73,38.25,1030635.0,0.0,1.0,37.802187784868,38.350045578851,37.583044667274,38.101019308859,1030635.0
2014-11-20,37.09,37.54,36.99,37.46,610697.0,0.0,1.0,36.945537416093,37.39378470208,36.845926908096,37.314096295682,610697.0
2014-11-19,37.97,38.11,37.14,37.34,856645.0,0.0,1.0,37.822109886467,37.961564597663,36.995342670092,37.194563686086,856645.0
2014-11-18,37.63,38.49,37.55,38.21,907332.0,0.0,1.0,37.483434159277,38.340084528052,37.40374575288,38.06117510566,907332.0
2014-11-17,37.6,37.86,37.46,37.73,700862.0,0.0,1.0,37.453551006878,37.712538327671,37.314096295682,37.583044667274,700862.0
2014-11-14,37.38,37.63,37.1,37.62,1101451.0,0.0,1.0,37.234407889285,37.483434159277,36.955498466893,37.473473108478,1101451.0
2014-11-13,37.44,37.63,37.21,37.45,1109118.0,0.0,1.0,37.294174194083,37.483434159277,37.06507002569,37.304135244883,1109118.0
2014-11-12,37.23,37.56,37.08,37.55,762540.0,0.0,1.0,37.084992127289,37.413706803679,36.935576365294,37.40374575288,762540.0
2014-11-11,37.24,37.37,37.04,37.35,534598.0,0.0,1.0,37.094953178089,37.224446838485,36.895732162095,37.204524736886,534598.0
2014-11-10,37.13,37.36,37.0,37.28,625778.0,0.0,1.0,36.985381619292,37.214485787685,36.855887958896,37.134797381288,625778.0
2014-11-07,36.93,37.25,36.82,37.04,668938.0,0.0,1.0,36.786160603298,37.104914228889,36.676589044502,36.895732162095,668938.0
2014-11-06,36.38,37.12,36.26,37.11,1215775.0,0.0,1.0,36.238302809315,36.975420568493,36.118770199718,36.965459517693,1215775.0
2014-11-04,35.92,36.2,35.79,35.94,693460.0,0.0,1.0,35.780094472528,36.05900389492,35.650600812132,35.800016574128,693460.0
2014-11-03,36.34,36.43,35.87,36.04,780411.0,0.0,1.0,36.198458606116,36.288108063313,35.73028921853,35.899627082125,780411.0
