Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,27.89,27.98,27.52,27.78,1416632.0,0.0,1.0,27.89,27.98,27.52,27.78,1416632.0
2015-04-15,27.4,28.11,27.24,27.92,1997018.0,0.0,1.0,27.4,28.11,27.24,27.92,1997018.0
2015-04-14,27.55,27.67,27.27,27.44,1282562.0,0.0,1.0,27.55,27.67,27.27,27.44,1282562.0
2015-04-13,27.35,27.8,27.29,27.65,1541187.0,0.0,1.0,27.35,27.8,27.29,27.65,1541187.0
2015-04-10,27.52,27.64,27.18,27.33,1108849.0,0.0,1.0,27.52,27.64,27.18,27.33,1108849.0
2015-04-09,27.23,27.59,27.06,27.535,2007439.0,0.0,1.0,27.23,27.59,27.06,27.535,2007439.0
2015-04-08,27.22,27.42,26.97,27.28,1887150.0,0.0,1.0,27.22,27.42,26.97,27.28,1887150.0
2015-04-07,26.8,27.35,26.79,27.21,1888109.0,0.0,1.0,26.8,27.35,26.79,27.21,1888109.0
2015-04-06,26.79,27.04,26.2,26.9,1553738.0,0.0,1.0,26.79,27.04,26.2,26.9,1553738.0
2015-04-02,26.88,27.19,26.82,27.11,1456233.0,0.0,1.0,26.88,27.19,26.82,27.11,1456233.0
2015-04-01,27.01,27.06,26.64,26.93,1527473.0,0.0,1.0,27.01,27.06,26.64,26.93,1527473.0
2015-03-31,26.83,27.06,26.66,27.0,1407763.0,0.0,1.0,26.83,27.06,26.66,27.0,1407763.0
2015-03-30,26.57,27.14,26.5,27.0,1572997.0,0.0,1.0,26.57,27.14,26.5,27.0,1572997.0
2015-03-27,26.61,26.75,26.19,26.42,1612720.0,0.0,1.0,26.61,26.75,26.19,26.42,1612720.0
2015-03-26,26.38,26.79,26.14,26.73,2463507.0,0.0,1.0,26.38,26.79,26.14,26.73,2463507.0
2015-03-25,27.15,27.15,26.47,26.48,1385805.0,0.0,1.0,27.15,27.15,26.47,26.48,1385805.0
2015-03-24,27.2,27.23,26.97,27.09,1937949.0,0.0,1.0,27.2,27.23,26.97,27.09,1937949.0
2015-03-23,27.45,27.53,27.15,27.26,1783735.0,0.0,1.0,27.45,27.53,27.15,27.26,1783735.0
2015-03-20,26.8,27.465,26.724,27.45,4197524.0,0.0,1.0,26.8,27.465,26.724,27.45,4197524.0
2015-03-19,27.06,27.13,26.4,26.51,2969332.0,0.0,1.0,27.06,27.13,26.4,26.51,2969332.0
2015-03-18,27.27,27.56,26.78,27.135,3768729.0,0.0,1.0,27.27,27.56,26.78,27.135,3768729.0
2015-03-17,27.18,27.38,27.06,27.35,3986833.0,0.0,1.0,27.18,27.38,27.06,27.35,3986833.0
2015-03-16,27.6,27.766,27.2,27.44,3177503.0,0.0,1.0,27.6,27.766,27.2,27.44,3177503.0
2015-03-13,28.02,28.02,27.2,27.59,2675613.0,0.0,1.0,28.02,28.02,27.2,27.59,2675613.0
2015-03-12,27.44,28.12,27.2625,28.04,4536146.0,0.0,1.0,27.44,28.12,27.2625,28.04,4536146.0
2015-03-11,26.57,27.125,26.501,27.08,3318778.0,0.0,1.0,26.57,27.125,26.501,27.08,3318778.0
2015-03-10,27.09,27.2899,26.55,26.55,2973753.0,0.0,1.0,27.09,27.2899,26.55,26.55,2973753.0
2015-03-09,27.33,27.59,27.22,27.46,1727586.0,0.0,1.0,27.33,27.59,27.22,27.46,1727586.0
2015-03-06,26.84,27.75,26.84,27.34,4850307.0,0.0,1.0,26.84,27.75,26.84,27.34,4850307.0
2015-03-05,27.35,27.45,26.88,27.42,2328800.0,0.0,1.0,27.35,27.45,26.88,27.42,2328800.0
2015-03-04,27.02,27.24,26.69,27.235,3223229.0,0.0,1.0,27.02,27.24,26.69,27.235,3223229.0
2015-03-03,26.76,27.16,26.76,27.0,3237735.0,0.0,1.0,26.76,27.16,26.76,27.0,3237735.0
2015-03-02,26.67,27.12,26.51,27.11,2101757.0,0.0,1.0,26.67,27.12,26.51,27.11,2101757.0
2015-02-27,26.52,26.95,26.34,26.735,2566412.0,0.0,1.0,26.52,26.95,26.34,26.735,2566412.0
2015-02-26,26.39,26.52,26.22,26.43,1297802.0,0.0,1.0,26.39,26.52,26.22,26.43,1297802.0
2015-02-25,26.45,26.54,26.39,26.46,1016283.0,0.0,1.0,26.45,26.54,26.39,26.46,1016283.0
2015-02-24,26.32,26.71,26.22,26.46,2259879.0,0.0,1.0,26.32,26.71,26.22,26.46,2259879.0
2015-02-23,26.21,26.34,26.07,26.31,2237203.0,0.0,1.0,26.21,26.34,26.07,26.31,2237203.0
2015-02-20,25.83,26.44,25.56,26.33,1880794.0,0.0,1.0,25.83,26.44,25.56,26.33,1880794.0
2015-02-19,25.85,26.2,25.53,25.96,1798789.0,0.0,1.0,25.85,26.2,25.53,25.96,1798789.0
2015-02-18,26.45,26.58,25.98,26.04,1500467.0,0.0,1.0,26.45,26.58,25.98,26.04,1500467.0
2015-02-17,26.25,26.62,26.04,26.595,2076051.0,0.04,1.0,26.25,26.62,26.04,26.595,2076051.0
2015-02-13,26.38,26.685,26.25,26.32,1716083.0,0.0,1.0,26.340382954759,26.644924910832,26.210578186597,26.280473061761,1716083.0
2015-02-12,25.68,26.32,25.51,26.27,2539987.0,0.0,1.0,25.641434203116,26.280473061761,25.471689506289,26.230548150929,2539987.0
2015-02-11,25.55,25.778,25.31,25.51,2081650.0,0.0,1.0,25.511629434954,25.739287028346,25.271989862962,25.471689506289,2081650.0
2015-02-10,25.85,25.948,25.56,25.67,1930667.0,0.0,1.0,25.811178899944,25.909031725174,25.52161441712,25.63144922095,1930667.0
2015-02-09,25.89,26.21,25.77,25.8,2353045.0,0.0,1.0,25.851118828609,26.170638257931,25.731299042613,25.761253989112,2353045.0
2015-02-04,25.15,25.42,24.77,24.82,2683267.0,0.0,1.0,25.112230148301,25.381824666792,24.732800825981,24.782725736812,2683267.0
2015-02-03,24.85,25.43,24.77,25.3,2977488.0,0.0,1.0,24.812680683311,25.391809648958,24.732800825981,25.262004880796,2977488.0
2015-02-02,24.12,24.695,23.9,24.62,2783786.0,0.0,1.0,24.08377698517,24.657913459733,23.864107377511,24.583026093486,2783786.0
